No,Country,iso3,M49 Code,Region1,Region2,Continent
1,Afghanistan,AFG,4,Southern Asia,,Asia
2,Aland Islands,ALA,248,Northern Europe,,Europe
3,Albania,ALB,8,Southern Europe,,Europe
4,Algeria,DZA,12,Northern Africa,,Africa
5,American Samoa,ASM,16,Polynesia,,Oceania
6,Andorra,AND,20,Southern Europe,,Europe
7,Angola,AGO,24,Middle Africa,Sub-Saharan Africa,Africa
8,Anguilla,AIA,660,Caribbean,Latin America and the Caribbean,North America
9,Antarctica,ATA,10,Antarctica,,Antarctica
10,Antigua and Barbuda,ATG,28,Caribbean,Latin America and the Caribbean,North America
11,Argentina,ARG,32,South America,Latin America and the Caribbean,South America
12,Armenia,ARM,51,Western Asia,,Asia
13,Aruba,ABW,533,Caribbean,Latin America and the Caribbean,North America
14,Australia,AUS,36,Australia and New Zealand,,Oceania
15,Austria,AUT,40,Western Europe,,Europe
16,Azerbaijan,AZE,31,Western Asia,,Asia
17,Bahamas,BHS,44,Caribbean,Latin America and the Caribbean,North America
18,Bahrain,BHR,48,Western Asia,,Asia
19,Bangladesh,BGD,50,Southern Asia,,Asia
20,Barbados,BRB,52,Caribbean,Latin America and the Caribbean,North America
21,Belarus,BLR,112,Eastern Europe,,Europe
22,Belgium,BEL,56,Western Europe,,Europe
23,Belize,BLZ,84,Central America,Latin America and the Caribbean,North America
24,Benin,BEN,204,Western Africa,Sub-Saharan Africa,Africa
25,Bermuda,BMU,60,Northern America,,North America
26,Bhutan,BTN,64,Southern Asia,,Asia
27,Bolivia (Plurinational State of),BOL,68,South America,Latin America and the Caribbean,South America
28,Bonaire Sint Eustatius and Saba,BES,535,Caribbean,Latin America and the Caribbean,North America
29,Bosnia and Herzegovina,BIH,70,Southern Europe,,Europe
30,Botswana,BWA,72,Southern Africa,Sub-Saharan Africa,Africa
31,Bouvet Island,BVT,74,South America,Latin America and the Caribbean,South America
32,Brazil,BRA,76,South America,Latin America and the Caribbean,South America
33,British Indian Ocean Territory,IOT,86,Eastern Africa,Sub-Saharan Africa,Africa
34,British Virgin Islands,VGB,92,Caribbean,Latin America and the Caribbean,North America
35,Brunei Darussalam,BRN,96,South-eastern Asia,,Asia
36,Bulgaria,BGR,100,Eastern Europe,,Europe
37,Burkina Faso,BFA,854,Western Africa,Sub-Saharan Africa,Africa
38,Burundi,BDI,108,Eastern Africa,Sub-Saharan Africa,Africa
39,Cabo Verde,CPV,132,Western Africa,Sub-Saharan Africa,Africa
40,Cambodia,KHM,116,South-eastern Asia,,Asia
41,Cameroon,CMR,120,Middle Africa,Sub-Saharan Africa,Africa
42,Canada,CAN,124,Northern America,,North America
43,Cayman Islands,CYM,136,Caribbean,Latin America and the Caribbean,North America
44,Central African Republic,CAF,140,Middle Africa,Sub-Saharan Africa,Africa
45,Chad,TCD,148,Middle Africa,Sub-Saharan Africa,Africa
46,Chile,CHL,152,South America,Latin America and the Caribbean,South America
47,China,CHN,156,Eastern Asia,,Asia
48,China Hong Kong Special Administrative Region,HKG,344,Eastern Asia,,Asia
49,China Macao Special Administrative Region,MAC,446,Eastern Asia,,Asia
50,Christmas Island,CXR,162,Australia and New Zealand,,Oceania
51,Cocos (Keeling) Islands,CCK,166,Australia and New Zealand,,Oceania
52,Colombia,COL,170,South America,Latin America and the Caribbean,South America
53,Comoros,COM,174,Eastern Africa,Sub-Saharan Africa,Africa
54,Congo,COG,178,Middle Africa,Sub-Saharan Africa,Africa
55,Cook Islands,COK,184,Polynesia,,Oceania
56,Costa Rica,CRI,188,Central America,Latin America and the Caribbean,North America
57,Cote dIvoire,CIV,384,Western Africa,Sub-Saharan Africa,Africa
58,Croatia,HRV,191,Southern Europe,,Europe
59,Cuba,CUB,192,Caribbean,Latin America and the Caribbean,North America
60,Curacao,CUW,531,Caribbean,Latin America and the Caribbean,North America
61,Cyprus,CYP,196,Western Asia,,Asia
62,Czechia,CZE,203,Eastern Europe,,Europe
63,Democratic Peoples Republic of Korea,PRK,408,Eastern Asia,,Asia
64,Democratic Republic of the Congo,COD,180,Middle Africa,Sub-Saharan Africa,Africa
65,Denmark,DNK,208,Northern Europe,,Europe
66,Djibouti,DJI,262,Eastern Africa,Sub-Saharan Africa,Africa
67,Dominica,DMA,212,Caribbean,Latin America and the Caribbean,North America
68,Dominican Republic,DOM,214,Caribbean,Latin America and the Caribbean,North America
69,Ecuador,ECU,218,South America,Latin America and the Caribbean,South America
70,Egypt,EGY,818,Northern Africa,,Africa
